Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725,390470936,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,4818457,2669262,0
Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545,323703884,28113,174597137,92,116347040,3486739,674700,35223547,208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,6623075,1118279,1
I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538,601309283,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,7208651,5285340,0
Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444,2031280633,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,3265268,11822942,0
Houdini,Eminem,2024-05-31,USUG12403398,5,423,107034922,7223,151469874,88,77373957,3670188,16400,26576921,266064027,112763851,182,12185,1,82,17660624,105,4493884,7006,207179,457017,1
Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410,670665438,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,9438601,4517131,1
Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407,900158751,73118,201585714,86,308723145,4120760,182529,29584940,534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,3265268,9990302,0
Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375,675079153,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,3265268,6063523,1
ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355,1653018119,1,15,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330,90676573,10400,184199419,86,32735244,988682,325800,121574500,974656200,174706874,191,3823,117,78,10800098,92,1005626,842,3679709,666302,1
I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322,250080413,16219,168766158,91,32229063,550191,182529,184500,2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,1594605,963413,1
The Door,Teddy Swims,2024-06-14,USWB12402486,12,320,111155129,2,263767,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,2,12735768,7818,3265268,854584,1
HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316,221636195,13800,197280692,92,40022524,1307290,195300,45889000,360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,1313357,450344,0
WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308,355186436,43025,108168634,88,98081493,1456177,182529,26576921,266064027,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314,1
bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301,297185,277,24445,12,6736502312,16785489,3,1088,22234,97746040,1,1057,86,15,237407,17,12735768,7818,3265268,3288,0
LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299,925655569,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,228,60,5633435,83,12171026,13242,871978,2765808,1
THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297,395433400,12784,177932568,89,104673836,2484083,139300,25348800,207317000,268893710,221,129968,3,99,37988531,134,9961769,13437,377734,1210029,0
greedy,Tate McRae,2023-09-14,USRC12301932,18,293,1258569694,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,3310,188,21788568,150,44850379,12270,3265268,6973652,1
HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292,91272461,6499,52287548,86,16038053,569377,941900,119740900,1225345800,5839168,76,181,1,24,5054005,33,283089,162,975891,257661,0
As It Was,Harry Styles,2022-03-31,USSM12200612,20,292,3301814535,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,4909,330,12907852,189,132624772,79909,3265268,14967379,0
Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290,1065399331,170890,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,273,143,13718632,146,70291476,49111,3265268,7559816,1
Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281,547882871,24425,262343414,95,107550212,1825761,209200,169144295,1379499000,422646034,298,37208,236,167,41414565,149,10362898,10848,1551157,1373085,1
CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279,1655575417,10,655,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278,426700979,34044,152928632,86,35724356,437980,1470500,485200392,6518604175,1213175656,159,309497,257,194,40725482,177,13860535,36282,3265268,2100708,1
Future,official sound studio,2024-01-10,RUA1H2415548,25,277,239850720,1,2,67,148269610,1257935,9453333,273236305,4306269694,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268,7382759,3504,661084,35,4233958,69990,37621885,1636811753,22918660728,97746040,1,5953,439,1,6,1,12735768,7818,3265268,633525,0
STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266,3107100349,451732,134793519,78,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513,1510151,4096,166,5783693,128,196783487,124922,36341585,854584,1
ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265,720822868,60945,7530769,71,16322756555,48757673,7743800,281762094,6577639193,2166611,33,284,142,19,52179,17,86458847,2234137,3265268,2064420,0
eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262,591068364,26203,197494995,87,156882014,3080503,182529,26576921,266064027,578568464,194,200230,32,117,22062193,126,10106573,7689,1612479,1579980,0
Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256,1003215671,128,485454,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,179867721,87209,3265268,4474248,1
ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249,1645079292,32312,13264111,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237,124893397,3479,25936342,82,359896095,4907193,212500,48327004,390081328,38798822,36,2188,32,3,347997,26,130743,592,265670,191867,0
Water,Tyla,2023-07-28,USSM12305126,33,234,670376179,98450,150471020,83,265180930,2566846,2114363,369150956,3932956380,3031114430,225,486952,1215,180,19469488,188,40418532,27555,6049784,6447136,0
Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233,750154960,139141,103879363,79,118208096,1495758,1031447,196985853,2231749390,1745168821,163,378114,856,113,16295286,112,20228317,5331,10938075,7477917,0
Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231,532012790,23557,67488850,67,62123098,923733,182529,26576921,266064027,384716227,221,151990,64,42,658517,47,31032977,23005,1516649,854584,0
What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230,479417905,7,1519,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,1,121250721,83632,3265268,3692067,0
A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226,311928522,25766,180237463,96,62694868,837616,182529,27811667,378313942,243895569,149,5953,141,58,26516005,146,21453034,30180,4482348,1707213,1
Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224,775135157,88239,180617454,87,139180960,1504385,396560,49060857,597513595,4016801205,215,605841,162,133,42675181,120,253538985,72429,5409388,10517831,0
fukumean,Gunna,2023-06-15,USAT22306575,39,221,759998727,188142,80392612,80,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,4003,40,2225409,88,64456799,20518,33130829,3945184,1
Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214,3071214106,375201,64901153,71,3366447481,27240268,10342366,393814740,5861939942,2428166573,549,573733,169,584,5749770,121,373294159,844198,37430204,44842636,0
HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212,214237645,10871,202626837,92,11033725,251373,251200,71078500,443104700,148058631,247,3400,8,67,11523335,125,840442,2592,1369981,285858,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211,170970614,27827,5784546,41,22280037,334523,14348249,948225544,12196985599,97746040,2,672,86,4,35737,9,270610,3170,3265268,854584,1
I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209,1658229422,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,935190,2487,207,6479623,168,139926990,31235,8007236,10973120,1
Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207,1126820069,177800,85255689,82,274070101,3701289,2557115,285329503,2578518632,1205538057,163,259255,96,77,3413707,80,28924685,14634,9505098,8681350,0
The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206,997702304,105927,92834002,86,48093111,959175,3648759,857220853,5469808282,298259422,91,36285,2676,63,10874749,110,6151267,9160,7980051,2682219,0
Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205,59314441,2572,183043096,83,22374807,1026097,182529,188200,1200000,110446147,199,2359,2,73,13686074,98,360163,758,9883,47115,1
Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205,493627071,45300,87874006,80,150571504,1575378,93500,35970610,386610043,3129834452,174,564640,405,146,28246184,127,25843941,3694,1991527,2389957,0
GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204,1655575417,9,85,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203,304929492,43923,46133083,69,61986821,921044,13872768,390207653,5684815935,19218089,78,92638,822,41,3467570,36,7444354,7188,3265268,2227494,1
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203,1747093405,178114,49464650,74,9537135721,61799279,799338,78304409,1143297071,569548901,179,121234,116,145,1977014,118,266603596,2359900,3265268,19622551,0
euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202,168434320,17168,62516401,86,53604746,1846535,182529,26576921,266064027,174375427,65,6408,77,20,428378,31,3156727,4843,4304870,654482,1
Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52,200,104271,249,8585,25,2457026781,1257935,190,36666,393580,97746040,28,12,86,15,237407,17,12735768,7818,3265268,1881,0
Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198,1391688322,163876,130963116,77,902742581,8099187,599,48035,2857920,750030685,316,1107265,86,112,11937930,146,52073859,41487,5820026,3521951,0
Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54,195,3909458734,316378,148037882,80,8013997219,45770887,2270315,194420058,2320856331,2294804623,465,402829,282,512,2710931,115,733565655,651557,78149375,1146246,0
Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194,55346,42,16861,13,2432265978,8162101,182529,26576921,266064027,97746040,28,53,86,15,237407,17,12735768,7818,3265268,200,0
Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194,4281468720,590392,165544011,83,833807130,10093211,2882064,337322563,3501177394,2258085924,859,1695240,1116,564,11701129,184,489299762,319634,28659471,28994660,0
HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57,192,1337619917,228295,64806723,80,193982443,2023998,423714,148085419,1268862678,444033037,152,952186,34,58,2134791,66,77382416,28694,3265268,6205060,1
Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58,190,239850720,2,41206,67,52480069,82092,182529,26576921,266064027,97746040,28,5953,86,1,1657,17,12735768,7818,3265268,854584,0
YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59,190,1655575417,1,3,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,1
Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189,1556275789,210583,95974138,74,254051906,3364206,2379787,683088623,7945975878,1524133775,203,718849,117,63,1616564,167,111398743,71335,10424892,10192485,0
Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61,187,239850720,2,135,9,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,420235997,885123,3265268,854584,0
Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62,186,1384,2,801,67,222076,5430,5013500,605320683,8811416708,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
Supernova,aespa,2024-05-13,KRA302400090,63,186,69729033,2483,21046278,81,111310770,1724693,56600,61038623,393973528,32059104,40,709,13,7,544322,14,45515,100,255951,63283,0
Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64,184,1811990630,173358,67603671,79,1516863120,8870768,4506600,549886060,6470937272,934894575,124,77120,327,44,14871714,63,111324744,39123,3265268,3393920,1
400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65,181,199929812,4,98,67,148269610,1257935,182529,26576921,266064027,97746040,1,5953,86,15,237407,17,390345308,399793,3265268,854584,1
Calm Down,Rema,2022-02-10,NGA3B2214004,66,180,584427088,182994,19203258,68,1141904909,8766235,6129450,856216952,18216656774,2952879912,138,191634,759,53,3481756,45,98290873,46039,14668216,22563407,0
CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67,179,466887055,53842,103935623,84,27688666,449112,182529,26576921,266064027,33817299,42,53333,86,11,199915,29,1359484,11303,11703609,1982000,1
SOS,SZA,2022-12-08,USRC12204584,68,177,1873746537,190202,99546318,82,220538045,3153793,266430,152410048,1284413960,426461749,214,655242,5448,73,1304067,122,57350590,61270,16992932,4873832,0
"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177,891720245,114560,97542546,82,144741616,2761964,1443103,498822693,3998086216,1384310160,168,275119,68,108,10920686,111,39374594,19921,5418596,4476509,0
Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70,176,46567,252,21930,6,2038459981,6076902,182529,26576921,266064027,97746040,2,29,86,15,237407,17,1456,7818,3265268,903,0
Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175,2996181078,486278,112416489,82,1272898075,14947520,1416295,513334446,5518429969,4899313022,459,1414326,1434,170,11862378,95,122247640,160431,3265268,17848778,0
Papercuts,Linkin Park,2024-04-12,USWB11201322,72,174,2045512421,97,488602,67,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,2,12735768,7818,3265268,854584,0
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73,174,946941510,100130,74836321,74,776436101,12951756,4210895,797017650,11936401096,457987382,110,165670,180,106,4971379,92,48806666,10225,3265268,2237762,0
The Way We Move,PowerDress,2023-03-10,UKACT2330463,74,173,7909,38,15023,4,1999374091,5708577,182529,26576921,266064027,97746040,28,59,86,15,237407,17,12735768,7818,3265268,1412,0
Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170,1010494713,127393,18652312,67,3203314695,41487213,5757883,187301054,1981431049,939714925,63,49780,2195,64,397418,100,181784010,2022074,106880548,8856633,0
un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170,1008495696,99381,57394938,75,878892413,4425283,796603,127651887,1669065906,1522934425,101,73481,225,42,5734172,81,55857743,15528,3265268,2283747,0
Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77,168,239850720,10230,1142937,67,12489728,339414,42900000,919945708,12221514692,97746040,28,5953,86,15,237407,17,5678792,7818,3265268,854584,0
Sprinter - Single,Dave,2023-06-01,GBUM72305159,78,168,692512930,199828,55464762,78,219666692,2332307,731797,130560533,1254944697,918145630,155,42082,36,41,1790031,76,411656,3414,12405917,3093667,1
HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167,169410711,11028,144854768,90,19402457,997411,284,26576921,266064027,260377114,185,1008,86,53,20737850,59,521322,698,1680434,388625,0
TQG,KAROL G,2023-02-23,USUM72222541,80,167,1024381758,78554,69319589,78,1102289596,8953293,457111,15048444,248168852,1174053183,138,149584,38,84,8850320,131,68022934,16511,164895,3488226,1
ýý (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167,2969999682,280165,116921604,81,6473698897,39632673,6642975,601244764,7647479866,1708317539,208,263386,129,343,1242581,102,617483078,595052,3265268,854584,0
Pepas,Farruko,2021-06-24,USSD12100307,82,167,1500499584,359502,125112486,74,1431591689,11553088,2866181,290811371,4067248819,782475986,258,240677,438,137,4015523,102,120046948,89582,6227,17210946,1
Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83,167,8082,63,32758,67,2055940513,4150967,182529,26576921,266064027,97746040,1,13,86,15,237407,17,12735768,7818,3265268,442,0
Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166,1215336974,129463,39814172,74,701880622,3831236,5416,550073,15373104,546259059,83,40153,227,24,4946338,61,84378219,53890,17115523,3435177,0
Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166,860026452,74769,139913794,80,173044031,1640319,175536,90924917,1227837850,1205266954,7,759185,1100,82,4067956,17,64567514,22064,1843883,3199636,0
La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164,1032225805,94887,74469479,79,920878032,3118229,1031612,116003972,2416141351,1690231413,83,57941,177,42,3360878,48,55410702,27415,230579,2635577,1
american dream,21 Savage,2024-01-12,USSM12309164,87,164,428233003,57311,144298748,67,105148629,1762297,87200,6732800,43993800,977638660,74,102457,56,48,4037475,60,16802867,11821,3265268,2490071,1
Easy On Me,Adele,2021-10-14,USSM12105970,88,163,1720918065,209635,93875458,73,1194846205,13561925,1912194,733101955,7860224413,6353555150,325,774277,1316,257,5323750,100,203324731,126594,3265268,7569155,0
Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214878,89,163,1514239759,190692,77283361,77,1366181141,9358441,1769068,475656543,5249863696,488048337,150,145640,920,44,5591928,108,69095169,81914,3265268,5133847,1
All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90,162,333202114,108322,41018697,68,203487345,2084532,928132,63253779,748253884,735908540,148,346411,146,30,1277729,60,90114807,46789,16620102,4207535,1
Midnights,Taylor Swift,2022-10-21,USUG12205736,91,161,1563224246,117005,97456780,80,203259285,3482508,1302967,376660493,3864505972,724976542,261,1034319,1088,74,4457357,150,92338994,45974,3265268,4703179,0
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,UYB282201028,92,161,1692951462,209490,88591675,78,1132539234,8795731,1212100,196608777,2054826154,56677146,99,138254,37,58,5211955,65,18052815,5213,4099686,6836893,0
SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161,255076355,11500,90584540,86,202206901,2596912,182529,57656713,506476590,273521596,67,4716,137,9,423666,44,220481,1207,556784,659825,0
EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94,158,275349653,37806,22826643,70,347506860,1553295,4349700,321239621,4767676439,2676837761,19,23875,96,37,3780737,29,5101044,5276,3265268,1245874,1
La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95,155,649404552,27544,47789063,83,433839212,2750086,182529,414833,10603563,1795939912,29,16287,462,34,16509806,26,22603598,29401,3265268,1380069,0
Boy's a liar Pt. 2,PinkPantheress,2023-02-03,GBAYE2300015,96,153,851085705,129047,50996176,70,211810152,2461166,3502547,955272568,8781020473,806434641,162,223173,6243,65,8655684,130,10207007,36847,13896129,2580691,1
SOS,SZA,2022-12-09,USRC12204591,97,153,1013350808,108036,86470319,84,390677417,2521214,402338,97819766,887803828,560893301,154,559589,513,60,2707900,61,74611167,85113,17702595,3129609,1
BELLAKEO,Peso Pluma,2023-12-07,QMFMF2388143,98,153,359803580,26065,79152427,86,369321334,1839225,720800,74164945,874056250,4123457278,40,16952,69,63,18139662,51,20058510,7289,3265268,1002835,1
Scarlet,Doja Cat,2023-09-22,USRC12301954,99,152,509653100,66219,67521533,67,48045203,986278,328562,88846508,544437406,1561456615,80,400206,14,78,9341155,39,23110274,19559,3265268,4295361,1
Prada,cassï¿,2023-08-11,GBCEN2300147,100,152,609699748,128498,160755092,83,47611547,418343,283600,96934486,1090501901,113545664,129,123242,1570,167,15480679,100,1210830,1073,25956265,854584,1
Montagem Rave Eterno,Dj Samir,2024-05-02,GXD7G2413058,101,152,5157486,470,2924720,67,1278618,27849,1100000,261000,3900000,97746040,3,5953,86,2,39366,17,12735768,7818,3265268,47658,0
Lil Boo Thang,Paul Russell,2023-08-18,USAR12300323,102,152,242070373,37170,74130983,76,22907992,261664,2553106,312997953,3832221658,15593731,106,370635,5999,69,1792014,79,84425715,30713,670026,2219984,0
nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364182,103,150,478150858,73306,51842133,78,113379734,1312763,1700998,182319546,2111289492,90954700,78,35330,39,56,15784760,53,17823388,12664,4374049,2255465,1
Laxed (Siren Beat),Jawsh 685,2020-04-24,USSM12002399,104,150,61382407,7240,1708319,43,9977490,201210,37726462,9239474,147837262,97746040,15,10152,86,5,59317,1,12735768,7818,3265268,3819161,0
(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,GBBKS2300080,105,150,460156070,163449,127827271,77,8183226,98257,530103,65920648,1032799567,56004473,28,195140,86,102,3034022,111,1132923,1312,9451176,9279625,0
Training Season,Dua Lipa,2024-02-15,GBAHT2301078,106,148,251153869,16811,92985554,76,66691067,961957,102884,34572688,431390500,2120552147,162,180711,57,127,33540073,116,10305245,3796,776717,2047771,0
WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148,205206688,28064,84737651,84,39453253,672789,182529,26576921,266064027,232440923,99,3432,45,41,2943724,47,5897303,4527,7571301,900933,1
Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147,32942304,1262,26204483,74,57861795,1257935,182529,26576921,266064027,29510774,37,290,6,5,530831,33,21869,48,139164,29736,0
Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,USAT21906978,109,146,1911559785,317345,87765033,78,441257231,4829633,4930490,561201008,4574447121,2077511,255,296948,181,138,555650,28,295741432,633414,168458097,11988760,1
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,USSM12104539,110,145,2014959725,354831,87942438,70,1003346208,16856186,1750366,915814897,9558947943,3191316960,360,245228,925,109,3242122,74,75167268,96430,3265268,12693846,1
Pedro - Single,Jaxomy,2024-03-29,DEE862400427,111,144,168145583,27654,159737263,85,35008949,717214,182529,26576921,266064027,39149568,107,4448,86,158,16345999,54,39577,482,3634381,2408838,0
Gettin' Old,Luke Combs,2023-03-24,US6XF2200436,112,144,518988585,73116,58391498,80,107703759,768813,354036,74258021,924204888,103658014,117,673629,59,67,8306302,104,184924061,88890,728039,3108167,0
Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,JPU902305042,113,144,247399972,22222,13870528,80,389540239,4392933,182529,22950364,296522040,1041035733,53,807,86,18,357941,17,537267,1928,3265268,1069500,0
Aesthetic,Tollan Kim,2022-03-04,SGB502208576,114,144,5712985,2311,535908,44,3120073,56276,20114495,2452502310,33870791454,97746040,4,22,86,4,1397,1,21564,81,3265268,249823,0
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,USUM71814888,116,143,3358704125,392082,123917182,79,2763188773,19410390,2714134,178829434,1597453878,484189798,351,273683,86,86,809352,99,546367356,906813,3265268,1569935,0
Hands,Dianï¿½,2022-08-01,GBKPL2205333,115,143,126914,8,212,1,2435813922,7208467,33,188,6415,26630093,28,658,86,15,237407,17,12735768,7818,3265268,295,0
Saturn - Single,SZA,2024-02-24,USRC12400216,117,142,343090427,21104,154253718,87,38173339,349660,182529,26576921,266064027,196380893,120,158378,360,103,10995523,87,11441987,7496,166254,745798,0
3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,2024-06-04,BXT622400190,118,142,239850720,32312,13264111,67,39323383,44223,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
Believer,Imagine Dragons,2017-01-31,USUM71700626,119,142,3006226762,335880,89243475,81,4495059988,42240881,5745117,453132709,5876458723,276194776,226,253782,388,118,1138425,71,614578695,844301,2943611,21306706,0
WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,USSM12203789,120,141,787155930,183850,58397185,77,357772653,2590835,931660,95662104,836550889,3934416606,150,463665,1308,32,399388,69,182315884,53326,48937045,3534164,1
UTOPIA,Travis Scott,2023-07-28,USSM12305012,121,139,532605345,128534,31725858,81,97958347,1237197,322900,108595670,947194801,259363238,46,107637,57,33,1423258,40,6334599,8712,12785993,1861958,1
ANDO,Jere Klein,2023-09-27,QMDA72363047,122,139,292789738,28591,30905957,72,406307035,809942,1900606,68341852,872862858,1969191415,11,1754,86,15,8391160,1,764473,5168,3265268,1195337,1
First Class,Jack Harlow,2022-04-08,USAT22203024,123,138,818858244,223609,49586777,71,231229581,2756840,1610614,624748318,6890780336,3849170813,148,666615,4406,37,759989,77,117451442,40907,24111168,4244972,1
UTOPIA,Travis Scott,2023-07-28,USSM12305010,124,137,659010786,129923,93969186,86,125203447,1990342,22100,13787343,107398826,244390161,87,37314,361,46,2137898,38,3029375,6510,14942955,1839283,1
After Hours (Live At SoFi Stadium),The Weeknd,2023-03-03,USUG12301493,125,137,3913988,545,1054122,40,1577017938,9304666,182529,26576921,266064027,2651764724,28,25,86,15,237407,17,5260,7818,3265268,854584,1
Losing Interest (Original),Goovex,2024-06-10,CA5KR2465999,126,136,126247886,5,5973,1,148269610,1257935,182529,26576921,266064027,97746040,28,5953,86,15,237407,17,12735768,7818,3265268,854584,0
"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,USUM72206227,127,136,1607421145,212406,160444270,83,409785349,3326477,247865,155593087,1825552705,2563240162,267,523907,3418,111,4754372,75,152770142,49622,3265268,9091826,0
MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305253,128,136,438796949,23959,34805394,78,509727241,2202866,1223804,46080266,782582119,1337889706,56,60758,959,29,3457921,38,38214505,9932,62622,865444,0
Drained of Color,Exhumed,2022-08-30,US2642250302,129,134,158627,635,18765,16,2156140830,1257935,9,422,4484,1318392,28,29,86,15,237407,17,1132,7818,3265268,208,0
